Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
A novel adaptive trajectory tracking control for autonomous vehicles based on state expansion,"Wang, J., Yu, Y., Song, Y. et al.",2024,"J Mech Sci Technol 38, 3143–3154",https://doi.org/10.1007/s12206-024-0532-z,springer,0,autonomous vehicles advancements control
A Novel Dynamic Lane-Changing Trajectory Planning for Autonomous Vehicles Based on Improved APF and RRT Algorithm,"Zhao, S., Leng, Y., Zhao, M. et al.",2024,"Int.J Automot. Technol. 24, 1259–1267",https://doi.org/10.1007/s12239-024-00153-0,springer,1,autonomous vehicles planning
A Novel Local Trajectory Planning With Adaptive Extended Step Length for Autonomous Vehicles,Binbin Zeng; Jieying Lu; Junhui Li,2023,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10240806,IEEE,0,autonomous vehicles planning
A novel road attribute detection system for autonomous vehicles using sensor fusion,"Thomas, A., Antony, J.K., Isaac, A.V. et al.",2024, Int. j. inf. tecnol.,https://doi.org/10.1007/s41870-024-02255-5,springer,0,autonomous vehicles sensor fusion
A Review of Motion Planning for Highway Autonomous Driving,Laurène Claussmann; Marc Revilloud; Dominique Gruyer; Sébastien Glaser,2019,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 21, Issue: 5, May 2020) ",10.1109/TITS.2019.2913998,google scholar,409,autonomous vehicles advancements planning
A review of sensory interactions between autonomous vehicles and drivers,"Jiayi Lu a, Zhaoxia Peng a, Shichun Yang a, Yuan Ma a, Rui Wang a, Zhaowen Pang a, Xinjie Feng a, Yuyi Chen a, Yaoguang Cao b",2023,"Journal of Systems Architecture
Volume 141, August 2023, 102932",https://doi.org/10.1016/j.sysarc.2023.102932,google scholar,10,autonomous vehicles advancements human–machine interaction
A review of the application of fuzzy mathematical algorithm-based approach in autonomous vehicles and drones,"Singh, R., Nishad, D.K., Khalid, S. et al.",2024,Int J Intell Robot Appl ,https://doi.org/10.1007/s41315-024-00385-4,springer,0,autonomous vehicles advancements
"A Review on Autonomous Vehicles: Progress, Methods and Challenges","Darsh Parekh,  Nishi Poddar et. al",2022,"Electronics 2022, 11(14), 2162",https://doi.org/10.3390/electronics11142162,google scholar,213,autonomous vehicles advancements
A Review on Challenges of Autonomous Mobile Robot and Sensor Fusion Methods,Mary B. Alatise; Gerhard P. Hancke,2020,IEEE Access ( Volume: 8) ,10.1109/ACCESS.2020.2975643,IEEE,295,autonomous vehicles advancements sensor fusion
A Safer Vision-Based Autonomous Planning System for Quadrotor UAVs with Dynamic Obstacle Trajectory Prediction and Its Application with LLMs,"Jiageng Zhong; Ming Li; Yinliang Chen; Zihang Wei; Fan Yang; Haoran Shen
Wuhan University",2024,2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),10.1109/WACVW60836.2024.00131,IEEE,5,autonomous vehicles advancements human–machine interaction
A Survey of Deep Learning Applications to Autonomous Vehicle Control,Sampo Kuutti; Richard Bowden; Yaochu Jin; Phil Barber; Saber Fallah,2020,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 22, Issue: 2, February 2021) ",10.1109/TITS.2019.2962338,google scholar,402,autonomous vehicles advancements control
A Systematic Review of Perception System and Simulators for Autonomous Vehicles Research ," Francisca Rosique,  Pedro J. Navarro
Pedro J. Navarro et. al.",2019,Sensors Volume 19 Issue 3 ,https://doi.org/10.3390/s19030648,google scholar,335,autonomous vehicles advancements perception systems
A tree-based approach for visible and thermal sensor fusion in winter autonomous driving,"Boisclair, J., Amamou, A., Kelouwani, S. et al.",2024,"Machine Vision and Applications 35, 60",https://doi.org/10.1007/s00138-024-01546-y,springer,0,autonomous vehicles sensor fusion
AD-VILS: Implementation and Reliability Validation of Vehicle-in-the-Loop Simulation Platform for Evaluating Autonomous Driving Systems,Taeyoung Oh; Yunchul Ha; Dayeon Yoo; Jinwoo Yoo,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3492162,IEEE,0,autonomous vehicles advancements
Adaptive Decentralized Sensor Fusion for Autonomous Vehicle: Estimating the Position of Surrounding Vehicles,Kyusang Yoon; Jaeho Choi; Kunsoo Huh,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3308152,IEEE,4,autonomous vehicles sensor fusion
Advancements and Prospects in Multisensor Fusion for Autonomous Driving,Chen Tu; ; Jaehyuck Lim; Inhi Kim,2024,"Journal of Intelligent and Connected Vehicles ( Volume: 7, Issue: 4, December 2024) ",10.26599/JICV.2023.9210042,google scholar,0,autonomous vehicles advancements sensor fusion
Advancements in Deep Learning for Driving Policy and Perception in Autonomous Vehicles,"Alexander Schmidt, et al.",2024,"Journal of Theory and Practice in Engineering and Technology, 1(1), 1–7.",https://woodyinternational.com/index.php/jtpet/article/view/21,google scholar,0,autonomous vehicles advancements perception systems
Algorithm and hardware implementation for visual perception system in autonomous vehicle: A survey,"Weijing Shi a, Mohamed Baker Alawieh a, Xin Li b c, Huafeng Yu d",2017,"Integration Volume 59, September 2017, Pages 148-156",https://doi.org/10.1016/j.vlsi.2017.07.007,google scholar,1,autonomous vehicles perception systems
An Adaptive Sequencing Approach for Object Detection in Autonomous Vehicles,"Christopher Wolfe, Khatereh Mohammadi & Hasan Ferdowsi ",2024,"International Journal of Intelligent Transportation Systems Research Volume 22, pages 629–647, (2024) ",https://doi.org/10.1007/s13177-024-00401-8,springer,0,autonomous vehicles advancements
An Autonomous Vehicle Motion Planning Method based On Dynamic Programming,Jia Changhao; Huang Miaohua; Sui Liyang,2020,2020 17th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),10.1109/ICCWAMTIP51612.2020.9317333,IEEE,5,autonomous vehicles planning
"An efficient end-to-end EKF-SLAM architecture based on LiDAR, GNSS, and IMU data sensor fusion for autonomous ground vehicles","MAILKA, H., Abouzahir, M. & Ramzi, M.",2023,"Multimed Tools Appl 83, 56183–56206",https://doi.org/10.1007/s11042-023-17595-w,springer,3,autonomous vehicles advancements sensor fusion
An ethical trajectory planning algorithm for autonomous vehicles,"Geisslinger, M., Poszler, F. & Lienkamp, M.",2023,"Nat Mach Intell 5, 137–144",https://doi.org/10.1038/s42256-022-00607-z,springer,41,autonomous vehicles planning
An in-depth evaluation of deep learning-enabled adaptive approaches for detecting obstacles using sensor-fused data in autonomous vehicles,"Abhishek Thakur, Sudhansu Kumar Mishra",2024,"Engineering Applications of Artificial Intelligence
Volume 133, Part F, July 2024, 108550",https://doi.org/10.1016/j.engappai.2024.108550,google scholar,1,autonomous vehicles advancements sensor fusion
An Integrated Approach of Threat Analysis for Autonomous Vehicles Perception System,Subhadip Ghosh; Aydin Zaboli; Junho Hong; Jaerock Kwon,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3243906,google scholar,17,autonomous vehicles perception systems
An interaction-fair semi-decentralized trajectory planner for connected and autonomous vehicles,"Liu, Z., Lei, J., Yi, P. et al.",2025,"Auton. Intell. Syst. 5, 1",https://doi.org/10.1007/s43684-024-00087-5,springer,0,autonomous vehicles planning
An Open Approach to Autonomous Vehicles,Shinpei Kato; Eijiro Takeuchi; Yoshio Ishiguro; Yoshiki Ninomiya; Kazuya Takeda; Tsuyoshi Hamada,2015,"IEEE Micro ( Volume: 35, Issue: 6, Nov.-Dec. 2015) ",10.1109/MM.2015.133,google scholar,417,autonomous vehicles control
An overview of sensors in Autonomous Vehicles,"Henry Alexander Ignatious, Hesham-El- Sayed, Manzoor Khan",2022,"Procedia Computer Science
Volume 198, 2022, Pages 736-741",https://doi.org/10.1016/j.procs.2021.12.315,google scholar,71,autonomous vehicles advancements sensor fusion
"Autonomous cars: Past, present and future a review of the developments in the last century, the present scenario and the expected future of autonomous vehicle technology",Keshav Bimbraw,2015,"2015 12th International Conference on Informatics in Control, Automation and Robotics (ICINCO)",https://ieeexplore.ieee.org/abstract/document/7350466,google scholar,12,autonomous vehicles advancements control
Autonomous localized path planning algorithm for UAVs based on TD3 strategy,"Feiyu, Z., Dayan, L., Zhengxu, W. et al.",2024,"Sci Rep 14, 763",https://doi.org/10.1038/s41598-024-51349-4,springer,8,autonomous vehicles planning
Autonomous Multi-Sensor Fusion Techniques for Environmental Perception in Self-Driving Vehicles,Ippa Sumalatha; Prateek Chaturvedi; Gowtham Raj R; Shruti Patil; H Pal Thethi; Ali Abduhussien Hameed,2024,"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",10.1109/IC3SE62002.2024.10593125,IEEE,0,autonomous vehicles sensor fusion
Autonomous vehicle lane-change maneuver accounting for emotion-induced driving behavior in other vehicles,"Widyotriatmo, A., Amri, H. & Nazaruddin, Y.Y.",2024,"Intel Serv Robotics 17, 945–962",https://doi.org/10.1007/s11370-024-00549-y,springer,0,autonomous vehicles human–machine interaction
Autonomous vehicle perception: The technology of today and tomorrow,"Jessica Van Brummelen a, Marie O’Brien a, Dominique Gruyer b, Homayoun Najjaran a",2018,"Transportation Research Part C: Emerging Technologies Volume 89, April 2018, Pages 384-406 ",https://doi.org/10.1016/j.trc.2018.02.012,google scholar,7,autonomous vehicles advancements perception systems
"Autonomous Vehicles and Intelligent Automation: Applications, Challenges, and Opportunities","Gourav Bathla, Kishor Bhadane, Rahul Kumar Singh, Rajneesh Kumar, Rajanikanth Aluvalu, Rajalakshmi Krishnamurthi, Adarsh Kumar, R. N Thakur, Shakila Basheer",2022,Mobile Information Systems,doi/full/10.1155/2022/7632892,google scholar,34,autonomous vehicles advancements
"Autonomous Vehicles Perception (AVP) Using Deep Learning: Modeling, Assessment, and Challenges",Hrag-Harout Jebamikyous; Rasha Kashef,2022,IEEE Access ( Volume: 10) ,10.1109/ACCESS.2022.3144407,google scholar,38,autonomous vehicles perception systems
AV4EV: Open-Source Modular Autonomous Electric Vehicle Platform for Making Mobility Research Accessible,Zhijie Qiao; Mingyan Zhou; Zhijun Zhuang; Tejas Agarwal; Felix Jahncke; Po-Jen Wang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588611,IEEE,1,autonomous vehicles advancements
Building Trust in Autonomous Vehicles: Role of Virtual Reality Driving Simulators in HMI Design,Lia Morra; Fabrizio Lamberti; F. Gabriele Pratticó; Salvatore La Rosa; Paolo Montuschi,2019,"IEEE Transactions on Vehicular Technology ( Volume: 68, Issue: 10, October 2019) ",10.1109/TVT.2019.2933601,IEEE,91,autonomous vehicles human–machine interaction
CARINA Project: Visual Perception Systems Applied for Autonomous Vehicles and Advanced Driver Assistance Systems (ADAS),Diego Renan Bruno; Rafael A. Berri; Felipe M. Barbosa; Fernando S. Osório,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3287491,IEEE,3,autonomous vehicles perception systems
Competing with autonomous model vehicles: a software stack for driving in smart city environments,"Bächle, J., Häringer, J., Köhler, N. et al. ",2024,"Auton. Intell. Syst. 4, 17",https://doi.org/10.1007/s43684-024-00074-w,springer,25,autonomous vehicles advancements
Computational-Level Framework for Autonomous Systems: a Practical Approach,Árpád Takács; Imre J. Rudas; Tamás Haidegger,2019,2019 IEEE 23rd International Conference on Intelligent Engineering Systems (INES),10.1109/INES46365.2019.9109522,IEEE,1,autonomous vehicles advancements human–machine interaction
Continuous advantage learning for minimum-time trajectory planning of autonomous vehicles,"Li, Z., Wu, W., Wang, J. et al.",2024,"Sci. China Inf. Sci. 67, 172206",https://doi.org/10.1007/s11432-023-4059-6,springer,0,autonomous vehicles planning
Control Architecture Design for Autonomous Vehicles,Karl Berntorp; Tru Hoang; Rien Quirynen; Stefano Di Cairano,2018,2018 IEEE Conference on Control Technology and Applications (CCTA),10.1109/CCTA.2018.8511371,google scholar,30,autonomous vehicles control
Control Strategies on Path Tracking for Autonomous Vehicle: State of the Art and Future Challenges,Qiangqiang Yao; Ying Tian; Qun Wang; Shengyuan Wang,2020,IEEE Access ( Volume: 8) ,10.1109/ACCESS.2020.3020075,IEEE,110,autonomous vehicles control
"Conversational In-Vehicle Dialog Systems: The past, present, and future",Fuliang Weng; Pongtep Angkititrakul; Elizabeth E. Shriberg; Larry Heck; Stanley Peters; John H.L. Hansen,2016,"IEEE Signal Processing Magazine ( Volume: 33, Issue: 6, November 2016) ",10.1109/MSP.2016.2599201,IEEE,34,autonomous vehicles advancements human–machine interaction
Critical Application Feasibility of Predictive Learning in Autonomous Vehicles,"Pradhan, S.R., Mishra, S., Tripathy, H.K., Brahma, B., Gobinath, R., Sobti, R. ",2024,"Innovative Computing and Communications. ICICC 2024. Lecture Notes in Networks and Systems, vol 1020. Springer, Singapore.",https://doi.org/10.1007/978-981-97-3588-4_31,springer,0,autonomous vehicles advancements sensor fusion
Cruising into the Future: Navigating the Challenges and Advancements in Autonomous Vehicle Technology ,"Shah Hussain Bangash Iqra National University ,Peshawar, Pakistan.Ghassan Husnain Iqra National University ,Peshawar, Pakistan.
    Asif Nawaz Higher Colleges of Technology, Dubai, UAE.
    Mohsin Tahir Iqra National University ,Peshawar, Pakistan.
    Muhammad Imad Iqra National University ,Peshawar, Pakistan.
    Zabih Ullah Khan Iqra National University ,Peshawar, Pakistan.
    Daud Khan Iqra National University ,Peshawar, Pakistan.
    Sheeraz Ahmed Iqra National University ,Peshawar, Pakistan.",2023,Vol. 5 No. 02 (2023): Journal of Computing & Biomedical Informatics ,1.056.979,google scholar,0,autonomous vehicles advancements
Current advancements on autonomous mission planning and management systems: An AUV and UAV perspective,"Adham Atyabi a, Somaiyeh MahmoudZadeh b, Samia Nefti-Meziani c",2018,"Annual Reviews in Control Volume 46, 2018, Pages 196-215",https://doi.org/10.1016/j.arcontrol.2018.07.002,google scholar,2,autonomous vehicles advancements planning
Data-driven rolling eco-speed optimization for autonomous vehicles,"Yang, Y., Gao, K., Cui, S. et al.",2023,"Front. Eng. Manag. 11, 620–632",https://doi.org/10.1007/s42524-023-0284-y,springer,0,autonomous vehicles advancements
Deep fusion of heterogeneous sensor modalities for the advancements of ADAS to autonomous vehicles,Pei-Jung Liang; Peter Chondro; Jheng-Rong Wu; Wei-Hao Lai; Yi-Fa Sun; Yi-Chen Lai,2018,"2018 International Symposium on VLSI Design, Automation and Test (VLSI-DAT)",10.1109/VLSI-DAT.2018.8373245,IEEE,3,autonomous vehicles advancements sensor fusion
Deep Learning Sensor Fusion for Autonomous Vehicle Perception and Localization: A Review,"Fayyad, J.; Jaradat, M.A.; Gruyer, D.; Najjaran, H. ",2020,"Sensors 2020, 20, 4220",https://doi.org/10.3390/s20154220,google scholar,301,autonomous vehicles advancements perception systems
Deep reinforcement learning for autonomous vehicles: lane keep and overtaking scenarios with collision avoidance,"Ashwin, S.H., Naveen Raj, R.",2023,"Int. j. inf. tecnol. 15, 3541–3553",https://doi.org/10.1007/s41870-023-01412-6,springer,15,autonomous vehicles advancements human–machine interaction
Deep Reinforcement Learning-Based (DRLB) Optimization for Autonomous Driving Vehicle Path Planning,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689874,IEEE,0,autonomous vehicles planning
Design of a Deep Learning-Based Autonomous Vehicle Environmental Perception and Decision-Making System,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689828,IEEE,0,autonomous vehicles advancements perception systems
Designing Human-Machine Interface for Autonomous Vehicles,"S. Debernard *, C. Chauvin **, R. Pokam ***, S. Langlois ****",2016,"IFAC-PapersOnLine
Volume 49, Issue 19, 2016, Pages 609-614",https://doi.org/10.1016/j.ifacol.2016.10.629,google scholar,9,autonomous vehicles human–machine interaction
Driving Environment Uncertainty-Aware Motion Planning for Autonomous Vehicles,"Tang, X., Yang, K., Wang, H. et al.",2022,"Chin. J. Mech. Eng. 35, 120",https://doi.org/10.1186/s10033-022-00790-5,springer,31,autonomous vehicles planning
Driving Towards Inclusion: Revisiting In-Vehicle Interaction in Autonomous Vehicles,"Ashish Bastola, Julian Brinkley, Hao Wang, Abolfazl Razi",2024,Human-Computer Interaction,https://doi.org/10.48550/arXiv.2401.14571,google scholar,0,autonomous vehicles advancements human–machine interaction
Efficient and Effective Anomaly Detection in Autonomous Vehicles: A Combination of Gradient Boosting and ANFIS Algorithms.,"Quran, M.A.",2024,International Journal of Fuzzy Systems,https://doi.org/10.1007/s40815-024-01843-8,springer,0,autonomous vehicles advancements
Enhancing Accessibility and Interaction in Autonomous Vehicles,"G. Shanmugasundar, Janjhyam Venkata Naga Ramesh, Krishnasamy Karthik, Sampath Muthukumarasamy, Velumayil Ramesh, Sarita Rathee, Ajay Kumar",2024,"Smart Electric and Hybrid Vehicles: Advancements in Materials, Design, Technologies, and Modeling",https://doi.org/10.1002/9781394225040.ch10,google scholar,0,autonomous vehicles advancements human–machine interaction
Enhancing Safety in Autonomous Vehicles through Advanced AI-Driven Perception and Decision-Making Systems,Yazan Alahmed; Reema Abadla; Mohammed Jassim Al Ansari,2024,2024 Fifth International Conference on Intelligent Data Science Technologies and Applications (IDSTA),10.1109/IDSTA62194.2024.10746990,IEEE,0,autonomous vehicles advancements perception systems
Estimation of Vehicle Position and Velocity in Lane Coordinate using IMU-Camera Sensor Fusion,Weonmo Kang; Changsun Ahn,2022,"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS55662.2022.10003725,IEEE,0,autonomous vehicles advancements sensor fusion
Event-Triggered Adaptive Fuzzy Approach-Based Lateral Motion Control for Autonomous Vehicles,Junda Zhang; Lipeng Zhang; Shuaishuai Liu; Jiantao Wang,2023,"IEEE Transactions on Intelligent Vehicles ( Volume: 9, Issue: 1, January 2024) ",10.1109/TIV.2023.3336794,IEEE,4,autonomous vehicles control
Finite-set Model Predictive Speed and Heading Control of Autonomous Surface Vehicles with Unmeasured States,"Zhouhua Peng; Bao Zhang; Oiuvue Sun; Dan Wang; Min Han; Lu Liu
School of Marine Electrical Engineering Dalian Maritime University, Dalian, P. R. China",2019,2019 Tenth International Conference on Intelligent Control and Information Processing (ICICIP),10.1109/ICICIP47338.2019.9012181,IEEE,1,autonomous vehicles control
From automation to autonomy and autonomous vehicles: challenges and opportunities for human-computer interaction,Wei Xu,2020,"Interactions, Volume 28, Issue 1",https://doi.org/10.1145/3434580,google scholar,48,autonomous vehicles human–machine interaction
From semi to fully autonomous vehicles: New emerging risks and ethico-legal challenges for human-machine interactions,"Thierry Bellet a, Martin Cunneen b, Martin Mullins b, Finbarr Murphy b, Fabian Pütz b, Florian Spickermann b, Claudia Braendle c, Martina Felicitas Baumann",2019,"Transportation Research Part F: Traffic Psychology and Behaviour
Volume 63, May 2019, Pages 153-164",https://doi.org/10.1016/j.trf.2019.04.004,google scholar,5,autonomous vehicles human–machine interaction
Hierarchical Game-Theoretic Planning for Autonomous Vehicles,Jaime F. Fisac; Eli Bronstein; Elis Stefansson; Dorsa Sadigh; S. Shankar Sastry; Anca D. Dragan,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2019.8794007,google scholar,113,autonomous vehicles planning
Human-Machine Interaction for Autonomous Vehicles: A Review,Jiehuang Zhang et. al.,2021,Social Computing and Social Media: Experience Design and Social Network Analysis,10.1007/978-3-030-77626-8_13,google scholar,7,autonomous vehicles human–machine interaction
Human-Machine Shared Driving: Challenges and Future Directions,Shahzeb Ansari; Fazel Naghdy; Haiping Du,2022,"IEEE Transactions on Intelligent Vehicles ( Volume: 7, Issue: 3, September 2022) ",10.1109/TIV.2022.3154426,google scholar,50,autonomous vehicles advancements human–machine interaction
"Human–Machine Interaction in Intelligent and Connected Vehicles: A Review of Status Quo, Issues, and Opportunities",Zhengyu Tan; Ningyi Dai; Yating Su; Ruifo Zhang; Yijun Li; Di Wu,2021,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 23, Issue: 9, September 2022)",10.1109/TITS.2021.3127217,IEEE,42,autonomous vehicles human–machine interaction
Human–Machine Interfaces: A Review for Autonomous Electric Vehicles,Jesus A. Mandujano-Granillo; Milton O. Candela-Leal; Juan J. Ortiz-Vazquez; Mauricio A. Ramirez-Moreno; Juan C. Tudon-Martinez; Luis C. Felix-Herran,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3450439,IEEE,0,autonomous vehicles human–machine interaction
Improved Artificial Potential Field Method for Motion-Planning of Autonomous Vehicles,Pulkit Paliwal,2023,2023 International Conference for Advancement in Technology (ICONAT),10.1109/ICONAT57137.2023.10080077,IEEE,1,autonomous vehicles advancements planning
Insights and Strategies for an Autonomous Vehicle With a Sensor Fusion Innovation: A Fictional Outlook,Farrukh Hafeez; Usman Ullah Sheikh; Nasser Alkhaldi; Hassan Zuhair Al Garni; Zeeshan Ahmad Arfeen; Saifulnizam A. Khalid,2020,IEEE Access ( Volume: 8) ,10.1109/ACCESS.2020.3010940,google scholar,19,autonomous vehicles sensor fusion
Integrating a Real Vehicle Into a Physics-Based Driving Simulator for Human-Machine Interaction Research,Zeljko Medenica; Radovan Miucic; Michael Andrews,2019,2019 12th International Conference on Human System Interaction (HSI),10.1109/HSI47298.2019.8942616,IEEE,1,autonomous vehicles human–machine interaction
Internal Model-Based Robust Path-Following Control for Autonomous Vehicles,"Kovács, A., Vajk, I.",2024," Int.J Automot. Technol. 25, 249–260",https://doi.org/10.1007/s12239-024-00003-z,springer,0,autonomous vehicles control
Investigating intervention road scenarios for teleoperation of autonomous vehicles,"Tener, F., Lanir, J.",2023,"Multimed Tools Appl 83, 61103–61119",https://doi.org/10.1007/s11042-023-17851-z,springer,3,autonomous vehicles advancements perception systems
Investigating levels of remote operation in high-level on-road autonomous vehicles using operator sequence diagrams,"Parr, H., Harvey, C., Burnett, G. et al.",2024,"Cogn Tech Work 26, 207–223",https://doi.org/10.1007/s10111-024-00762-w,springer,0,autonomous vehicles human–machine interaction
Kalman-filter-based sensor fusion applied to road-objects detection and tracking for autonomous vehicles,Farag W.,2021,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering Volume 235, Issue 7

",https://doi.org/10.1177/0959651820975523,google scholar,21,autonomous vehicles sensor fusion
Knowledge-Based Entity Prediction for Improved Machine Perception in Autonomous Systems,Ruwan Wickramarachchi; Cory Henson; Amit Sheth,2022,"IEEE Intelligent Systems ( Volume: 37, Issue: 5, 01 Sept.-Oct. 2022) ",10.1109/MIS.2022.3181015,IEEE,3,autonomous vehicles perception systems
Lateral control of an autonomous vehicle based on Pure Pursuit algorithm,"Dhanya S Lal; A Vivek; Gopinath Selvaraj
Research and Development, Embedded Product Design TATA ELXSI Ltd, Bengaluru, India",2017,2017 International Conference on Technological Advancements in Power and Energy ( TAP Energy),10.1109/TAPENERGY.2017.8397361,IEEE,11,autonomous vehicles advancements
Leveraging Vehicle Predictive Analytics through Adaptive Learning and Cloud-Aided Sensor Fusion,Mohamed Mounir Moussa; Lubna Alazzawi,2024,"2024 International Conference on Electrical, Computer and Energy Technologies (ICECET",10.1109/ICECET61485.2024.10697997,IEEE,0,autonomous vehicles advancements sensor fusion
Machine visual perception from sim-to-real transfer learning for autonomous docking maneuvers,"Worth, D., Choate, J., Raettig, R. et al.",2024,Neural Comput & Applic,https://doi.org/10.1007/s00521-024-10543-1,springer,0,autonomous vehicles advancements perception systems
Milestones in Autonomous Driving and Intelligent Vehicles—Part II: Perception and Planning,Long Chen; Siyu Teng; Bai Li; Xiaoxiang Na; Yuchen Li; Zixuan Li,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems ( Volume: 53, Issue: 10, October 2023) ",10.1109/TSMC.2023.3283021,IEEE,34,autonomous vehicles advancements perception systems
Modeling Suburban Freeway Travel Variability considering Connected and Autonomous Vehicles,"Amoei Khorshidi, N., Afandizadeh Zargari, S., Mirzahossein, H. et al.",2024,Int J Civ Eng ,https://doi.org/10.1007/s40999-024-01045-1,springer,0,autonomous vehicles advancements human–machine interaction
Motion Planning for Autonomous Driving with Real Traffic Data Validation,"Chu, W., Yang, K., Li, S. et al.",2024,"Chin. J. Mech. Eng. 37, 6",https://doi.org/10.1186/s10033-023-00968-5,springer,1,autonomous vehicles advancements planning
MPC-based Lateral Motion Control for Autonomous Vehicles Through Serially Cascaded Discretization Method Considering Path Preview,"Zhu, G., Jie, H., Zheng, Z. et al. ",2024,"J. Control Autom. Syst. 22, 1666–1679",https://doi.org/10.1007/s12555-023-0008-4,springer,3,autonomous vehicles control
Multi-sensor fusion and segmentation for autonomous vehicle multi-object tracking using deep Q networks,"Vinoth, K., Sasikumar, P.",2024,"Sci Rep 14, 31130",https://doi.org/10.1038/s41598-024-82356-0,springer,0,autonomous vehicles advancements sensor fusion
Multi-Sensor Fusion for Navigation and Mapping in Autonomous Vehicles: Accurate Localization in Urban Environments,"Qingqing Li
, Jorge Peña Queralta
, Tuan Nguyen Gia
, Zhuo Zou
, and Tomi Westerlund",2020," Unmanned SystemsVol. 08, No. 03, pp. 229-237 (2020) ",https://doi.org/10.1142/S2301385020500168,google scholar,60,autonomous vehicles sensor fusion
