Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
Design of a Deep Learning-Based Autonomous Vehicle Environmental Perception and Decision-Making System,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689828,IEEE,0,autonomous vehicles advancements perception systems
AV4EV: Open-Source Modular Autonomous Electric Vehicle Platform for Making Mobility Research Accessible,Zhijie Qiao; Mingyan Zhou; Zhijun Zhuang; Tejas Agarwal; Felix Jahncke; Po-Jen Wang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588611,IEEE,1,autonomous vehicles advancements perception systems
Recent Advancement in Autonomous Vehicle and Driver Assistance Systems,"Abhishek Mishra; Jahanvi Purohit; Maruf Nizam; Suresh Kumar Gawre
Department of Electrical Engineering, Maulana Azad National Institute of Technology, Bhopal, MP, India",2023,"2023 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",10.1109/SCEECS57921.2023.10063089,IEEE,5,autonomous vehicles advancements perception systems
Trajectory Planning and Control of Autonomous Vehicles for Static Vehicle Avoidance in Dynamic Traffic Environments,"Changhee Kim; Youngmin Yoon; Sangyoon Kim; Michael Jinsoo Yoo; Kyongsu Yi
Department of Mechanical Engineering, Seoul National University, Seoul, South Korea",2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3236816,IEEE,16,autonomous vehicles advancements perception systems
Human Acceptance of Autonomous Mobility: A Literature Review,"Changhee Kim; Youngmin Yoon; Sangyoon Kim; Michael Jinsoo Yoo; Kyongsu Yi
Department of Mechanical Engineering, Seoul National University, Seoul, South Korea",2024,2024 2nd International Conference on Unmanned Vehicle Systems-Oman (UVS),10.1109/UVS59630.2024.10467165,IEEE,1,autonomous vehicles advancements perception systems
Enhancing Safety in Autonomous Vehicles through Advanced AI-Driven Perception and Decision-Making Systems,Yazan Alahmed; Reema Abadla; Mohammed Jassim Al Ansari,2024,2024 Fifth International Conference on Intelligent Data Science Technologies and Applications (IDSTA),10.1109/IDSTA62194.2024.10746990,IEEE,0,autonomous vehicles advancements perception systems
V2VFormer++: Multi-Modal Vehicle-to-Vehicle Cooperative Perception via Global-Local Transformer,Hongbo Yin; Daxin Tian; Chunmian Lin; Xuting Duan; Jianshan Zhou; Dezong Zhao,2023,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 25, Issue: 2, February 2024) ",10.1109/TITS.2023.3314919,IEEE,4,autonomous vehicles advancements perception systems
Reducing Computation Requirements for Autonomous Mobile Robots on Low Powered Embedded Systems,"Abhinav Pathak; Aditya Singhal; Adit Tewari; Aadish Jain; V. Kalaichelvi
Department of Electrical and Electronics Engineering, Birla Institute of Technology and Science Pilani",2023,"2023 International Conference on Modeling, Simulation & Intelligent Computing (MoSICom)",10.1109/MoSICom59118.2023.10458726,IEEE,0,autonomous vehicles advancements perception systems
Milestones in Autonomous Driving and Intelligent Vehicles—Part II: Perception and Planning,Long Chen; Siyu Teng; Bai Li; Xiaoxiang Na; Yuchen Li; Zixuan Li,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems ( Volume: 53, Issue: 10, October 2023) ",10.1109/TSMC.2023.3283021,IEEE,34,autonomous vehicles advancements perception systems
Towards Edge-Assisted Trajectory Prediction for Connected Autonomous Vehicles,Mehdi Salim Benhelal; Badii Jouaber; Hossam Afifi; Hassine Moungla,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437498,IEEE,0,autonomous vehicles advancements perception systems
Sensor Fusion Technology for Unmanned Autonomous Vehicles (UAV): A Review of Methods and Applications,Mohamad Haniff Harun; Shahrum Shah Abdullah; Mohd Shahrieel Mohd Aras; Mohd Bazli Bahar,2022,2022 IEEE 9th International Conference on Underwater System Technology: Theory and Applications (USYS),10.1109/USYS56283.2022.10072667,IEEE,5,autonomous vehicles advancements sensor fusion
Robust Cognitive Capability in Autonomous Driving Using Sensor Fusion Techniques: A Survey,"Mehmood Nawaz; Jeff Kai-Tai Tang; Khadija Bibi
Department of Biomedical Engineering, The Chinese University of Hong Kong, Hong Kong, SAR, China
; Shunli Xiao; Ho-Pui Ho; Wu Yuan",2023,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 25, Issue: 5, May 2024) ",10.1109/TITS.2023.3327949,IEEE,3,autonomous vehicles advancements sensor fusion
Estimation of Vehicle Position and Velocity in Lane Coordinate using IMU-Camera Sensor Fusion,Weonmo Kang; Changsun Ahn,2022,"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS55662.2022.10003725,IEEE,0,autonomous vehicles advancements sensor fusion
Design of a Deep Learning-Based Autonomous Vehicle Environmental Perception and Decision-Making System,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689828,IEEE,0,autonomous vehicles advancements sensor fusion
Leveraging Vehicle Predictive Analytics through Adaptive Learning and Cloud-Aided Sensor Fusion,Mohamed Mounir Moussa; Lubna Alazzawi,2024,"2024 International Conference on Electrical, Computer and Energy Technologies (ICECET",10.1109/ICECET61485.2024.10697997,IEEE,0,autonomous vehicles advancements sensor fusion
Object Detection in Adverse Weather for Autonomous Vehicles Based on Sensor Fusion and Incremental Learning,"Huiping Su; Hongbo Gao; Xinmiao Wang; Xiaozhao Fang; Qingchao Liu; Guang-Bin Huang
School of Automation and the Key Laboratory of Measurement and Control of Complex Systems of Engineering, Ministry of Education, Southeast University, Nanjing, China",2024,IEEE Transactions on Instrumentation and Measurement ( Volume: 73) ,10.1109/TIM.2024.3472860,IEEE,0,autonomous vehicles advancements sensor fusion
Deep fusion of heterogeneous sensor modalities for the advancements of ADAS to autonomous vehicles,Pei-Jung Liang; Peter Chondro; Jheng-Rong Wu; Wei-Hao Lai; Yi-Fa Sun; Yi-Chen Lai,2018,"2018 International Symposium on VLSI Design, Automation and Test (VLSI-DAT)",10.1109/VLSI-DAT.2018.8373245,IEEE,3,autonomous vehicles advancements sensor fusion
Road segmentation for autonomous vehicle: A review,"Basavaraj Chougula; Arun Tigadi; Prabhakar Manage; Sadanand Kulkarni
Dept. of E and C Engg, KLE Dr. M. S. S. college of engineering and technology, Belagavi, India",2020,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),10.1109/ICISS49785.2020.9316090,IEEE,7,autonomous vehicles advancements sensor fusion
A Review on Challenges of Autonomous Mobile Robot and Sensor Fusion Methods,Mary B. Alatise; Gerhard P. Hancke,2020,IEEE Access ( Volume: 8) ,10.1109/ACCESS.2020.2975643,IEEE,295,autonomous vehicles advancements sensor fusion
Computer Vision-based road surveillance system using autonomous drones and sensor fusion,Pablo Zubasti Recalde; Mario Saiz Fernández; Jesús García Herrero; José Manuel Molina López,2024,2024 27th International Conference on Information Fusion (FUSION),10.23919/FUSION59988.2024.10706468,IEEE,0,autonomous vehicles advancements sensor fusion
Trajectory Planning and Control of Autonomous Vehicles for Static Vehicle Avoidance in Dynamic Traffic Environments,"Changhee Kim; Youngmin Yoon; Sangyoon Kim; Michael Jinsoo Yoo; Kyongsu Yi
Department of Mechanical Engineering, Seoul National University, Seoul, South Korea",2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3236816,IEEE,16,autonomous vehicles advancements planning
Path planning using state lattice for autonomous vehicle,"Sivakumar Pothan; J L Nandagopal; Gopinath Selvaraj
Autonomous Vehicle Program, TATA ELXSI, Bengaluru, India",2017,2017 International Conference on Technological Advancements in Power and Energy ( TAP Energy),10.1109/TAPENERGY.2017.8397363,IEEE,6,autonomous vehicles advancements planning
Toward Fair and Thrilling Autonomous Racing: Governance Rules and Performance Metrics for the Autonomous One,"Bai Li; Yile Fang; Tian'ao Xu; Siji Ma
Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China
; Haorui Wang; Yazhou Wang",2023,"IEEE Transactions on Intelligent Vehicles ( Volume: 8, Issue: 8, August 2023) ",10.1109/TIV.2023.3298914,IEEE,4,autonomous vehicles advancements planning
Trajectory Prediction of Surrounding Vehicles for Autonomous Vehicle Using POMDP Method,"Junfeng Zhang; Guofeng Zhen; Hanjie Jia; Hanbing Wei
College of Mechatronics & Vehicle Engineering, Chongqing Jiaotong University, Chongqing, China",2022,"2022 2nd International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)",10.1109/CEI57409.2022.9950104,IEEE,3,autonomous vehicles advancements planning
Performance of Open Autonomous Vehicle Platforms: Autoware and Apollo,Vysyaraju Manikanta Raju; Vrinda Gupta; Shailesh Lomate,2019,2019 IEEE 5th International Conference for Convergence in Technology (I2CT),10.1109/I2CT45611.2019.9033734,IEEE,26,autonomous vehicles advancements planning
Research on Overtaking Path Planning of Autonomous Vehicles,Shih-Lin Lin; Xian-Qing Li; Jun-Yi Wu; Bo-Cheng Lin,2021,2021 IEEE International Future Energy Electronics Conference (IFEEC),10.1109/IFEEC53238.2021.9661967,IEEE,2,autonomous vehicles advancements planning
AV4EV: Open-Source Modular Autonomous Electric Vehicle Platform for Making Mobility Research Accessible,Zhijie Qiao; Mingyan Zhou; Zhijun Zhuang; Tejas Agarwal; Felix Jahncke; Po-Jen Wang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588611,IEEE,1,autonomous vehicles advancements planning
Improved Artificial Potential Field Method for Motion-Planning of Autonomous Vehicles,Pulkit Paliwal,2023,2023 International Conference for Advancement in Technology (ICONAT),10.1109/ICONAT57137.2023.10080077,IEEE,1,autonomous vehicles advancements planning
Optimal Driving Control for Autonomous Electric Vehicles Based on In-Wheel Motors Using an Artificial Potential Field,Giseo Park; Sooyoung Kim; Hyeongmuk Kang,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3443869,IEEE,0,autonomous vehicles advancements planning
Motion Planning for Urban Autonomous Bus Considering Localization Uncertainty Using Offset-Free MPC,Ara Jo; Woojin Kwon; Kyongsu Yi,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3355205,IEEE,2,autonomous vehicles advancements planning
Autonomous Underwater Vehicles’ Control System Design Implementation,Mohd Humam Zamir; Ayesha Parveen; Mohammad Haadi Akhtar; Azra Jalil,2023,"2023 International Conference on Power, Instrumentation, Energy and Control (PIECON)",10.1109/PIECON56912.2023.10085754,IEEE,1,autonomous vehicles advancements control
Lateral control of an autonomous vehicle based on Pure Pursuit algorithm,"Dhanya S Lal; A Vivek; Gopinath Selvaraj
Research and Development, Embedded Product Design TATA ELXSI Ltd, Bengaluru, India",2017,2017 International Conference on Technological Advancements in Power and Energy ( TAP Energy),10.1109/TAPENERGY.2017.8397361,IEEE,11,autonomous vehicles advancements control
Trajectory Planning and Control of Autonomous Vehicles for Static Vehicle Avoidance in Dynamic Traffic Environments,Giseo Park; Sooyoung Kim; Hyeongmuk Kang,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3443869,IEEE,0,autonomous vehicles advancements control
Optimal Driving Control for Autonomous Electric Vehicles Based on In-Wheel Motors Using an Artificial Potential Field,Giseo Park; Sooyoung Kim; Hyeongmuk Kang,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3443869,IEEE,0,autonomous vehicles advancements control
Real-Time Experimental Evaluation and Analysis of PID and MPC Controllers Using HIL Setup for Robust Steering System of Autonomous Vehicles,S. Gokul Krishnan; P. Suresh Kumar; Nadheem Nassar Matara; Yong Wang,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3406219,IEEE,1,autonomous vehicles advancements control
Seamless Functional Design for an Autonomous Vehicle using a Low-Cost RCP Platform,Sven Jacobitz; Xiaobo Liu-Henke; Uwe Becker,2024,2024 IEEE International Symposium on Systems Engineering (ISSE),10.1109/ISSE63315.2024.10741157,IEEE,0,autonomous vehicles advancements control
Fuzzy Logic Control for energy saving in Autonomous Electric Vehicles,A. O. Al-Jazaeri; L. Samaranayake; S. Longo; D. J. Auger,2014,2014 IEEE International Electric Vehicle Conference (IEVC),10.1109/IEVC.2014.7056100,IEEE,12,autonomous vehicles advancements control
Signalized Intersection Control in Mixed Autonomous and Regular Vehicles Traffic Environment—A Critical Review Focusing on Future Control,Mohammed Al-Turki; Nedal T. Ratrout; Syed Masiur Rahman; Khaled J. Assi,2022,IEEE Access ( Volume: 10),10.1109/ACCESS.2022.3148706,IEEE,16,autonomous vehicles advancements control
AV4EV: Open-Source Modular Autonomous Electric Vehicle Platform for Making Mobility Research Accessible,Zhijie Qiao; Mingyan Zhou; Zhijun Zhuang; Tejas Agarwal; Felix Jahncke; Po-Jen Wang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588611,IEEE,1,autonomous vehicles advancements control
Estimation of Vehicle Position and Velocity in Lane Coordinate using IMU-Camera Sensor Fusion,Weonmo Kang; Changsun Ahn,2022,"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS55662.2022.10003725,IEEE,0,autonomous vehicles advancements control
Review on human-machine shared control system of automated vehicles,Chao Huang; Fazel Naghdy; Haiping Du; Hailong Huang,2019,2019 3rd International Symposium on Autonomous Systems (ISAS),10.1109/ISASS.2019.8757749,IEEE,9,autonomous vehicles advancements human–machine interaction
Advancements in Visual Gesture Recognition for Underwater Human–Robot Interaction: A Comprehensive Review,Stanisław Hożyń,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3491900,IEEE,0,autonomous vehicles advancements human–machine interaction
Predicting Lane Change and Vehicle Trajectory With Driving Micro-Data and Deep Learning,Lei Wang; Jianyou Zhao; Mei Xiao; Jian Liu,2024,IEEE Access ( Volume: 12) ,10.1109/ACCESS.2024.3435741,IEEE,0,autonomous vehicles advancements human–machine interaction
Computational-Level Framework for Autonomous Systems: a Practical Approach,Árpád Takács; Imre J. Rudas; Tamás Haidegger,2019,2019 IEEE 23rd International Conference on Intelligent Engineering Systems (INES),10.1109/INES46365.2019.9109522,IEEE,1,autonomous vehicles advancements human–machine interaction
Safety of Autonomous Systems Using Reinforcement Learning: A Comprehensive Survey,Manju; Chhavi Rana; Mamta Dahiya,2023,"2023 International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)",10.1109/ICAICCIT60255.2023.10466182,IEEE,0,autonomous vehicles advancements human–machine interaction
"Conversational In-Vehicle Dialog Systems: The past, present, and future",Fuliang Weng; Pongtep Angkititrakul; Elizabeth E. Shriberg; Larry Heck; Stanley Peters; John H.L. Hansen,2016,"IEEE Signal Processing Magazine ( Volume: 33, Issue: 6, November 2016) ",10.1109/MSP.2016.2599201,IEEE,34,autonomous vehicles advancements human–machine interaction
Beyond Automation: Exploring Passenger Cooperation and Perception in Teleoperated Shared Automated Vehicles (SAVs),Bengt Escher; Jakob Peintner; Andreas Riener,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588392,IEEE,0,autonomous vehicles advancements human–machine interaction
Should Altruistic Deception of HAVs be Permitted? A Case Study of Unprotected Left Turns under EHMI Application*,Linkun Liu; Yiru Liu; Ye Tian; He Zhang,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV55156.2024.10588372,IEEE,0,autonomous vehicles advancements human–machine interaction
Tiny Machine Learning Business Intelligence in the Semiconductor Industry: A Case Study,"Martina Casiroli; Danilo Pietro Pau
System Research and Applications, STMicroelectronics, Agrate Brianza, Italy",2023,2023 IEEE Global Conference on Artificial Intelligence and Internet of Things (GCAIoT),10.1109/GCAIoT61060.2023.10385110,IEEE,1,autonomous vehicles advancements human–machine interaction
A Safer Vision-Based Autonomous Planning System for Quadrotor UAVs with Dynamic Obstacle Trajectory Prediction and Its Application with LLMs,"Jiageng Zhong; Ming Li; Yinliang Chen; Zihang Wei; Fan Yang; Haoran Shen
Wuhan University",2024,2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),10.1109/WACVW60836.2024.00131,IEEE,5,autonomous vehicles advancements human–machine interaction
Visual Perception Challenges in Adverse Weather for Autonomous Vehicles: A Review of Rain and Fog Impacts,Yongsheng Qiu; Yuanyao Lu; Yuantao Wang; Chaochao Yang,2024,"2024 IEEE 7th Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",10.1109/ITNEC60942.2024.10733168,IEEE,0,autonomous vehicles perception systems
Learn to See Fast: Lessons Learned From Autonomous Racing on How to Develop Perception Systems,Florian Sauerbeck; Sebastian Huch; Felix Fent; Phillip Karle; Dominik Kulmer; Johannes Betz,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3272750,IEEE,1,autonomous vehicles perception systems
Design of a Deep Learning-Based Autonomous Vehicle Environmental Perception and Decision-Making System,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689828,IEEE,0,autonomous vehicles perception systems
Overview of a new course on Autonomous Vehicle Systems,Tokunbo Ogunfunmi,2022,2022 IEEE International Symposium on Circuits and Systems (ISCAS),10.1109/ISCAS48785.2022.9937468,IEEE,0,autonomous vehicles perception systems
Perception and technology adoption trends for autonomous vehicles: Educational case study,Arif Mushtaq; Sadia Riaz; Hessa Mohd; Aisha Saleh,2018,2018 Advances in Science and Engineering Technology International Conferences (ASET),10.1109/ICASET.2018.8376923,IEEE,6,autonomous vehicles perception systems
Multimodal Perception Integrating Point Cloud and Light Field for Ship Autonomous Driving,Ruixuan Cong; Hao Sheng; Mingyuan Zhao; Dazhi Yang; Tun Wang; Rongshan Chen,2024,"IEEE Transactions on Intelligent Transportation Systems ( Volume: 25, Issue: 9, September 2024) ",10.1109/TITS.2024.3381652,IEEE,1,autonomous vehicles perception systems
Hardware-in-the-Loop Platform for Testing Autonomous Vehicle Control Algorithms,Jani Erik Heikkinen; Salimzhan Gafurov; Sergey Kopylov; Tatiana Minav; Sergey Grebennikov; Artur Kurbanov,2019,2019 12th International Conference on Developments in eSystems Engineering (DeSE),10.1109/DeSE.2019.00168,IEEE,5,autonomous vehicles perception systems
Knowledge-Based Entity Prediction for Improved Machine Perception in Autonomous Systems,Ruwan Wickramarachchi; Cory Henson; Amit Sheth,2022,"IEEE Intelligent Systems ( Volume: 37, Issue: 5, 01 Sept.-Oct. 2022) ",10.1109/MIS.2022.3181015,IEEE,3,autonomous vehicles perception systems
Autonomous Vehicles on the Edge: A Survey on Autonomous Vehicle Racing,"Johannes Betz; Hongrui Zheng; Alexander Liniger; Ugo Rosolia; Phillip Karle; Madhur Behl
Department of Computer Science, University of Virginia, Charlottesville, VA, USA",2022,IEEE Open Journal of Intelligent Transportation Systems ( Volume: 3) ,10.1109/OJITS.2022.3181510,IEEE,155,autonomous vehicles perception systems
CARINA Project: Visual Perception Systems Applied for Autonomous Vehicles and Advanced Driver Assistance Systems (ADAS),Diego Renan Bruno; Rafael A. Berri; Felipe M. Barbosa; Fernando S. Osório,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3287491,IEEE,3,autonomous vehicles perception systems
Sensor Fusion Technology for Unmanned Autonomous Vehicles (UAV): A Review of Methods and Applications,Mohamad Haniff Harun; Shahrum Shah Abdullah; Mohd Shahrieel Mohd Aras; Mohd Bazli Bahar,2022,2022 IEEE 9th International Conference on Underwater System Technology: Theory and Applications (USYS),10.1109/USYS56283.2022.10072667,IEEE,5,autonomous vehicles sensor fusion
Sensor fusion approaches to guideway and obstacle detection in the autotaxi system,P.J. Escamilla-Ambrosio; N. Lieven,2006,2005 7th International Conference on Information Fusion,10.1109/ICIF.2005.1592004,IEEE,1,autonomous vehicles sensor fusion
Sensors and Sensor Fusion in Autonomous Vehicles,Jelena Kocić; Nenad Jovičić; Vujo Drndarević,2018,2018 26th Telecommunications Forum (TELFOR),10.1109/TELFOR.2018.8612054,IEEE,157,autonomous vehicles sensor fusion
Adaptive Decentralized Sensor Fusion for Autonomous Vehicle: Estimating the Position of Surrounding Vehicles,Kyusang Yoon; Jaeho Choi; Kunsoo Huh,2023,IEEE Access ( Volume: 11) ,10.1109/ACCESS.2023.3308152,IEEE,4,autonomous vehicles sensor fusion
Toward Development of Ecosystem for Connected Autonomous Vehicles: Challenges of Modeling and Testing Sensors,Daniel Paluszczyszyn; Vojislav R Stamenkovic; Blake Lane,2024,"IEEE Sensors Letters ( Volume: 8, Issue: 3, March 2024) ",10.1109/LSENS.2024.3357653,IEEE,2,autonomous vehicles sensor fusion
Infrastructure based vehicle recognition system with multi sensor fusion,Sangheon Park; Jeong Ah Jang; Juwan Kim,2013,"2013, 7th International Conference on Signal Processing and Communication Systems (ICSPCS)",10.1109/ICSPCS.2013.6723979,IEEE,3,autonomous vehicles sensor fusion
Radar and Vision Sensor Fusion for Object Detection in Autonomous Vehicle Surroundings,Jihun Kim; Dong Seog Han; Benaoumeur Senouci,2018,2018 Tenth International Conference on Ubiquitous and Future Networks (ICUFN),10.1109/ICUFN.2018.8436959,IEEE,42,autonomous vehicles sensor fusion
Autonomous Multi-Sensor Fusion Techniques for Environmental Perception in Self-Driving Vehicles,Ippa Sumalatha; Prateek Chaturvedi; Gowtham Raj R; Shruti Patil; H Pal Thethi; Ali Abduhussien Hameed,2024,"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",10.1109/IC3SE62002.2024.10593125,IEEE,0,autonomous vehicles sensor fusion
Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,Shaekh Mohammad Shithil; Ahmad Athif Mohd Faudzi; Afnizanfaizal Abdullah; Najmul Islam; Shahril Mad Saad,2022,2022 IEEE 5th International Symposium in Robotics and Manufacturing Automation (ROMA),10.1109/ROMA55875.2022.9915682,IEEE,1,autonomous vehicles sensor fusion
Sensor Fusion Module Using IMU and GPS Sensors For Autonomous Car,Ch.S. Raveena; R.Sai Sravya; R.Vinay Kumar; Ameet Chavan,2020,2020 IEEE International Conference for Innovation in Technology (INOCON),10.1109/INOCON50539.2020.9298316,IEEE,8,autonomous vehicles sensor fusion
An Autonomous Vehicle Motion Planning Method based On Dynamic Programming,Jia Changhao; Huang Miaohua; Sui Liyang,2020,2020 17th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),10.1109/ICCWAMTIP51612.2020.9317333,IEEE,5,autonomous vehicles planning
Global Motion Planning for Unmanned Aerial Vehicle Automation,Hervé B. Olou; Eugène C. Ezin; Jean Marie Dembele; Christophe Cambier,2023,2023 6th International Conference on Intelligent Autonomous Systems (ICoIAS),10.1109/ICoIAS61634.2023.00045,IEEE,0,autonomous vehicles planning
A Novel Local Trajectory Planning With Adaptive Extended Step Length for Autonomous Vehicles,Binbin Zeng; Jieying Lu; Junhui Li,2023,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10240806,IEEE,0,autonomous vehicles planning
A Hybrid Path Planning Strategy of Autonomous Underwater Vehicles,Xinyu Jian; Ting Zou; Andrew Vardy; Neil Bose,2020,2020 IEEE/OES Autonomous Underwater Vehicles Symposium (AUV),10.1109/AUV50043.2020.9267929,IEEE,2,autonomous vehicles planning
An Improved A* Path Planning Algorithm of Autonomous Underwater Vehicles,Zhenqi Wang; Meng Joo Er; Huibin Gong,2022,2022 5th International Conference on Intelligent Autonomous Systems (ICoIAS),10.1109/ICoIAS56028.2022.9931230,IEEE,4,autonomous vehicles planning
Enhancing Passenger Comfort and Safeness in the Local Path Planning Strategy for Autonomous Road Vehicles Operating in New Capital City of Indonesia,Muhammad Aria Rajasa Pohan; Jana Utama,2023,2023 9th International Conference on Signal Processing and Intelligent Systems (ICSPIS),10.1109/ICSPIS59665.2023.10402743,IEEE,0,autonomous vehicles planning
Unmanned Aerial Vehicle Autonomous Flight Path Planning Algorithm Based on Deep Learning,Shengpeng Li; Yuhan Qian,2024,2024 International Conference on Telecommunications and Power Electronics (TELEPE),10.1109/TELEPE64216.2024.00119,IEEE,0,autonomous vehicles planning
Deep Reinforcement Learning-Based (DRLB) Optimization for Autonomous Driving Vehicle Path Planning,Hulin Jin; Zhiran Jin; Yong-Guk Kim,2024,2024 5th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC60852.2024.10689874,IEEE,0,autonomous vehicles planning
